#code;name;sellerID;categoryID;price;description1;description2...
#
#mercado 000
#
0000;arroz tipo 2;000;000;2.38;
0001;arroz tipo 2;000;000;3.99;
0002;feijao tipo 2;000;000;2.74;
0003;jaijao tipo 1;000;000;4.84;
0004;macarrao;000;000;3.50;
0005;bovino;000;001;40.00;
0006;suino;000;001;25.06;
0007;ave;000;001;15.90;
0008;maca;000;002;1.49;
0009;laranja;000;002;0.78;
0010;banana;000;002;0.45;
0011;uva;000;002;4.36;
0012;alface;000;003;2.54;
0013;tomate;000;003;5.68;
0014;cebola;000;003;2.50;
0015;cenoura;000;003;1.72;
#
#mercado 001
#
0016;arroz tipo 2;001;000;2.45;
00017;arroz tipo 2;001;000;4.00;
0018;feijao tipo 2;001;000;2.64;
0019;jaijao tipo 1;001;000;4.99;
0020;macarrao;001;000;3.65;
0021;bovino;001;001;42.12;
0022;suino;001;001;20.99;
0023;ave;001;001;14.76;
0024;maca;001;002;1.25;
0025;laranja;001;002;0.80;
0026;banana;001;002;0.50;
0027;uva;001;002;3.89;
0028;alface;001;003;3.00;
0029;tomate;001;003;5.23;
0030;cebola;001;003;2.38;
0031;cenoura;001;003;1.80;
